id,name,rank,base_salary,seniority_allowance,total_base
E001,Jean Dupont,Private,2000,800.0,2800.0
E002,Marie Leclerc,Corporal,2300,138.0,2438.0
E003,Pierre Martin,Sergeant,2600,0,2600
E004,Sophie Bernard,Lieutenant,3200,800,4000
E005,Luc Moreau,Captain,3800,608.0,4408.0
E006,Camille Laurent,Major,4500,630.0,5130.0
E007,Antoine Dubois,Colonel,5200,728.0,5928.0
E008,Julie Rousseau,General,6500,520.0,7020.0
E009,Thomas Petit,Private,2000,800,2800
E010,Claire Garnier,Corporal,2300,138.0,2438.0
E011,Hugo Faure,Sergeant,2600,800,3400
E012,Alice Girard,Lieutenant,3200,800,4000
E013,Nicolas Andre,Captain,3800,800,4600
E014,Emma Bonnet,Major,4500,180.0,4680.0
E015,Louis Lambert,Colonel,5200,800,6000
E016,Chloe Fontaine,General,6500,800,7300
E017,Gabriel Rousseau,Private,2000,40.0,2040.0
E018,Manon Perrot,Corporal,2300,0,2300
E019,Alexandre Blanchard,Sergeant,2600,104.0,2704.0
E020,Lea Perrin,Lieutenant,3200,384.0,3584.0
E021,Paul Leroy,Captain,3800,532.0,4332.0
E022,Sarah Colin,Major,4500,800,5300
E023,Julien Renard,Colonel,5200,800,6000
E024,Laura Vidal,General,6500,0,6500
E025,Maxime Renaud,Private,2000,680.0,2680.0
E026,Eva Marchand,Corporal,2300,276.0,2576.0
E027,Arthur Roy,Sergeant,2600,800,3400
E028,Nina Chevalier,Lieutenant,3200,800,4000
E029,Bastien Gauthier,Captain,3800,800,4600
E030,Ines Henry,Major,4500,800,5300
