id,name,rank,promotion_date,new_rank,months_in_service,base_salary_raw,base_salary,seniority_allowance,acting_allowance,selected_housing_allowance,selected_transport_allowance,night_allowance,weekend_allowance,holiday_allowance,overtime_allowance,total_base
E001,Jean Dupont,Private,None,None,10,2000,2000,800.0,3360,856,706,300,640,1440,90,10192.0
E002,Marie Leclerc,Corporal,None,None,4,2300,1840.0,110.4,4200,1300,863,720,800,720,90,10643.4
E003,Pierre Martin,Sergeant,None,None,12,2600,2600,0,3480,972,524,540,480,1200,0,9796
E004,Sophie Bernard,Lieutenant,2026-01-25,Captain,1,3335.483870967742,2668.3870967741937,800,3360,1080,807,1140,560,600,180,11195.387096774193
E005,Luc Moreau,Captain,None,None,2,3800,3040.0,486.40000000000003,3840,28,599,300,480,0,0,8773.4
E006,Camille Laurent,Major,None,None,17,4500,4500,630.0,4440,876,812,660,240,1920,0,14078.0
E007,Antoine Dubois,Colonel,None,None,3,5200,4160.0,582.4,1440,1538,710,1140,720,0,0,10290.4
E008,Julie Rousseau,General,None,None,11,6500,6500,520.0,1320,894,789,300,1200,1200,0,12723.0
E009,Thomas Petit,Private,None,None,18,2000,2000,800,3840,1792,630,1320,1360,1680,360,13782
E010,Claire Garnier,Corporal,None,None,1,2300,1840.0,110.4,3600,673,553,1800,1520,480,0,10576.4
E011,Hugo Faure,Sergeant,None,None,16,2600,2600,800,4800,1421,664,2040,560,840,0,13725
E012,Alice Girard,Lieutenant,2026-01-21,Captain,6,3412.9032258064517,3412.9032258064517,800,4680,317,837,1440,320,360,270,12436.90322580645
E013,Nicolas Andre,Captain,None,None,1,3800,3040.0,800,1320,255,464,1440,1360,480,90,9249.0
E014,Emma Bonnet,Major,2026-01-25,Colonel,2,4658.064516129032,3726.451612903226,149.05806451612904,0,1130,745,1920,1600,600,180,10050.509677419355
E015,Louis Lambert,Colonel,2026-01-18,General,13,5787.096774193548,5787.096774193548,800,3360,992,191,1500,1680,1680,270,16260.09677419355
E016,Chloe Fontaine,General,None,None,13,6500,6500,800,2280,1362,886,1200,1280,1560,270,16138
E017,Gabriel Rousseau,Private,2026-01-20,Corporal,2,2116.1290322580644,1692.9032258064517,33.85806451612903,1080,1679,798,1620,0,1200,180,8283.761290322582
E018,Manon Perrot,Corporal,None,None,7,2300,2300,0,0,427,822,2040,640,1560,0,7789
E019,Alexandre Blanchard,Sergeant,None,None,2,2600,2080.0,83.2,4080,1830,781,2400,0,480,180,11914.2
E020,Lea Perrin,Lieutenant,None,None,17,3200,3200,384.0,5280,1837,747,120,1200,1080,90,13938.0
E021,Paul Leroy,Captain,None,None,13,3800,3800,532.0,4800,1147,572,2400,400,600,0,14251.0
E022,Sarah Colin,Major,None,None,1,4500,3600.0,800,0,1693,349,960,480,360,90,8332.0
E023,Julien Renard,Colonel,2026-01-15,General,18,5912.903225806452,5912.903225806452,800,4560,1890,548,120,1280,1680,270,17060.90322580645
E024,Laura Vidal,General,None,None,3,6500,5200.0,0,3000,747,513,840,960,1200,180,12640.0
E025,Maxime Renaud,Private,None,None,7,2000,2000,680.0,3360,790,496,1920,400,120,180,9946.0
E026,Eva Marchand,Corporal,None,None,18,2300,2300,276.0,4920,544,162,0,800,480,0,9482.0
E027,Arthur Roy,Sergeant,2026-01-06,Lieutenant,1,3103.225806451613,2482.5806451612907,800,4680,1470,507,2160,800,840,360,14099.580645161292
E028,Nina Chevalier,Lieutenant,2026-01-14,Captain,18,3548.3870967741937,3548.3870967741937,800,4920,1006,613,1740,240,1680,360,14907.387096774193
E029,Bastien Gauthier,Captain,None,None,18,3800,3800,800,1200,1532,585,840,160,720,0,9637
E030,Ines Henry,Major,None,None,12,4500,4500,800,4680,1247,637,180,1360,840,360,14604
runtime_seconds=0.0024
