id,name,rank,promotion_date,new_rank,months_in_service,base_salary_raw,base_salary,seniority_allowance,acting_allowance,selected_housing_allowance,selected_transport_allowance,night_allowance,weekend_allowance,holiday_allowance,overtime_allowance,call_back_allowance,standby_allowance,training_allowance,per_diem_domestic,per_diem_international,fatigue_multiplier,total_base
E001,Jean Dupont,Private,None,None,10,2000,2000,800.0,3360,856,706,360.0,768.0,1728.0,108.0,300,450,0,9760,27514.05,1.2,48710.05
E002,Marie Leclerc,Corporal,None,None,4,2300,1840.0,110.4,4200,1300,863,720,800,720,90,0,0,1350,9300,15313.751999999999,1,36607.152
E003,Pierre Martin,Sergeant,None,None,12,2600,2600,0,3480,972,524,540,480,1200,0,1200,540,300,11040,21033.408,1,43909.407999999996
E004,Sophie Bernard,Lieutenant,2026-01-25,Captain,1,3335.483870967742,2668.3870967741937,800,3360,1080,807,1368.0,672.0,720.0,216.0,600,0,0,0,0,1.2,12291.387096774193
E005,Luc Moreau,Captain,None,None,2,3800,3040.0,486.40000000000003,3840,28,599,300,480,0,0,0,0,0,14640,29033.681999999997,1,52447.081999999995
E006,Camille Laurent,Major,None,None,17,4500,4500,630.0,4440,876,812,792.0,288.0,2304.0,0.0,1500,0,1500,0,0,1.2,17642.0
E007,Antoine Dubois,Colonel,None,None,3,5200,4160.0,582.4,1440,1538,710,1368.0,864.0,0.0,0.0,0,0,0,7360,23920.0,1.2,41942.4
E008,Julie Rousseau,General,None,None,11,6500,6500,520.0,1320,894,789,360.0,1440.0,1440.0,0.0,1500,315,600,0,0,1.2,15678.0
E009,Thomas Petit,Private,None,None,18,2000,2000,800,3840,1792,630,1584.0,1632.0,2016.0,432.0,0,0,1350,0,0,1.2,16076.0
E010,Claire Garnier,Corporal,None,None,1,2300,1840.0,110.4,3600,673,553,1800,1520,480,0,0,0,0,12300,39384.6,1,62261.0
E011,Hugo Faure,Sergeant,None,None,16,2600,2600,800,4800,1421,664,2448.0,672.0,1008.0,0.0,0,0,300,9600,28808.88,1.2,53121.880000000005
E012,Alice Girard,Lieutenant,2026-01-21,Captain,6,3412.9032258064517,3412.9032258064517,800,4680,317,837,1440,320,360,270,0,0,0,8100,20999.25,1,41536.153225806454
E013,Nicolas Andre,Captain,None,None,1,3800,3040.0,800,1320,255,464,1728.0,1632.0,576.0,108.0,0,1260,1350,6560,18586.612,1.2,37679.612
E014,Emma Bonnet,Major,2026-01-25,Colonel,2,4658.064516129032,3726.451612903226,149.05806451612904,0,1130,745,2304.0,1920.0,720.0,216.0,0,0,1050,8240,21899.859999999997,1.2,42100.36967741935
E015,Louis Lambert,Colonel,2026-01-18,General,13,5787.096774193548,5787.096774193548,800,3360,992,191,1800.0,2016.0,2016.0,324.0,300,900,600,0,0,1.2,19086.09677419355
E016,Chloe Fontaine,General,None,None,13,6500,6500,800,2280,1362,886,1200,1280,1560,270,0,0,600,0,0,1,16738
E017,Gabriel Rousseau,Private,2026-01-20,Corporal,2,2116.1290322580644,1692.9032258064517,33.85806451612903,1080,1679,798,1620,0,1200,180,900,0,0,0,0,1,9183.761290322582
E018,Manon Perrot,Corporal,None,None,7,2300,2300,0,0,427,822,2448.0,768.0,1872.0,0.0,600,360,1800,10600,26003.708,1.2,48000.708
E019,Alexandre Blanchard,Sergeant,None,None,2,2600,2080.0,83.2,4080,1830,781,2880.0,0.0,576.0,216.0,1500,0,0,0,0,1.2,14026.2
E020,Lea Perrin,Lieutenant,None,None,17,3200,3200,384.0,5280,1837,747,144.0,1440.0,1296.0,108.0,0,0,1500,10200,25769.280000000002,1.2,51905.28
E021,Paul Leroy,Captain,None,None,13,3800,3800,532.0,4800,1147,572,2880.0,480.0,720.0,0.0,0,0,1200,7440,18754.752,1.2,42325.752
E022,Sarah Colin,Major,None,None,1,4500,3600.0,800,0,1693,349,1152.0,576.0,432.0,108.0,1500,0,0,12840,28408.072000000004,1.2,51458.072
E023,Julien Renard,Colonel,2026-01-15,General,18,5912.903225806452,5912.903225806452,800,4560,1890,548,144.0,1536.0,2016.0,324.0,0,1305,0,0,0,1.2,19035.90322580645
E024,Laura Vidal,General,None,None,3,6500,5200.0,0,3000,747,513,840,960,1200,180,900,135,0,0,0,1,13675.0
E025,Maxime Renaud,Private,None,None,7,2000,2000,680.0,3360,790,496,2304.0,480.0,144.0,216.0,300,0,1350,0,0,1.2,12120.0
E026,Eva Marchand,Corporal,None,None,18,2300,2300,276.0,4920,544,162,0,800,480,0,0,855,900,0,0,1,11237.0
E027,Arthur Roy,Sergeant,2026-01-06,Lieutenant,1,3103.225806451613,2482.5806451612907,800,4680,1470,507,2592.0,960.0,1008.0,432.0,0,1125,0,0,0,1.2,16056.580645161292
E028,Nina Chevalier,Lieutenant,2026-01-14,Captain,18,3548.3870967741937,3548.3870967741937,800,4920,1006,613,2088.0,288.0,2016.0,432.0,0,0,1350,0,0,1.2,17061.387096774193
E029,Bastien Gauthier,Captain,None,None,18,3800,3800,800,1200,1532,585,1008.0,192.0,864.0,0.0,0,630,1650,8800,24118.688000000002,1.2,45179.688
E030,Ines Henry,Major,None,None,12,4500,4500,800,4680,1247,637,216.0,1632.0,1008.0,432.0,1200,0,0,0,0,1.2,16352.0
runtime_seconds=0.0047
